Price,Model Year,Engine Type,Engine Capacity,Assembly,Body Type,Transmission Type,Registration Status,Car Name
2385000,2017,Petrol,1000,Imported,Hatchback,Automatic,Un-Registered,Toyota Vitz
111000,2019,Petrol,1300,Local,Sedan,Automatic,Registered,Toyota Corolla
1530000,2019,Petrol,660,Local,Hatchback,Automatic,Un-Registered,Suzuki Alto
1650000,2019,Petrol,660,Local,Hatchback,Manual,Registered,Suzuki Alto
1435000,2010,Petrol,1300,Local,Sedan,Manual,Registered,Toyota Corolla
3850000,2017,Petrol,1500,Local,Sedan,Automatic,Registered,Honda Civic
1440000,2017,Petrol,1000,Local,Hatchback,Manual,Registered,Suzuki Wagon
2650000,1998,Diesel,3000,Imported,SUV,Automatic,Registered,Toyota Prado
3350000,2017,Petrol,1800,Local,Sedan,Automatic,Registered,Honda Civic
3200000,2014,Hybrid,1500,Imported,Cross Over,Automatic,Registered,Honda Vezel
1990000,2017,Petrol,1300,Local,Sedan,Manual,Registered,Honda City
920000,2012,Petrol,1000,Local,Hatchback,Manual,Registered,Suzuki Cultus
2750000,2018,Petrol,1300,Local,Sedan,Automatic,Registered,Toyota Corolla
910000,2004,Petrol,1300,Local,Sedan,Manual,Registered,Honda City
8650000,2018,Diesel,2800,Local,SUV,Automatic,Registered,Toyota Fortuner
1625000,2016,Petrol,660,Imported,Hatchback,Automatic,Un-Registered,Suzuki Wagon
2100000,2016,Petrol,1300,Local,Sedan,Manual,Registered,Honda City
965000,2001,Petrol,1000,Imported,Hatchback,Automatic,Registered,Toyota Vitz
840000,2018,Petrol,800,Local,Hatchback,Manual,Registered,Suzuki Mehran
400000,2000,Petrol,1000,Local,Hatchback,Manual,Registered,Suzuki Khyber
1985000,2012,Petrol,1800,Local,Sedan,Manual,Registered,Honda Civic
2445000,2016,Petrol,1600,Local,Sedan,Automatic,Registered,Toyota Corolla
1360000,2011,Petrol,1300,Local,Sedan,Manual,Registered,Toyota Corolla
2485000,2018,Petrol,1300,Local,Sedan,Automatic,Registered,Honda City
3785000,2019,Petrol,1798,Local,Sedan,Automatic,Registered,Toyota Corolla
1490000,2010,Petrol,1800,Local,Sedan,Automatic,Registered,Honda Civic
1445000,2016,Petrol,660,Imported,Hatchback,Automatic,Registered,Suzuki Alto
1495000,2013,Petrol,660,Local,Hatchback,Automatic,Registered,Suzuki Wagon
1815000,2011,Petrol,1800,Local,Sedan,Automatic,Registered,Honda Civic
3550000,2018,Petrol,1800,Local,Sedan,Automatic,Registered,Honda Civic
2300000,2018,Petrol,1300,Local,Sedan,Manual,Registered,Honda City
2400000,2012,Petrol,1800,Local,Sedan,Automatic,Registered,Honda Civic
2390000,2015,Petrol,1800,Local,Sedan,Manual,Registered,Honda Civic
1495000,2016,Petrol,660,Local,Hatchback,Automatic,Registered,Suzuki Alto
1210000,2006,Petrol,1500,Local,Sedan,Automatic,Registered,Honda City
625000,2000,Petrol,1300,Local,Sedan,Manual,Registered,Honda City
1750000,2010,Petrol,1800,Local,Sedan,Automatic,Registered,Toyota Corolla
1385000,2016,Petrol,1000,Local,Hatchback,Manual,Registered,Suzuki Wagon
1880000,2014,Petrol,1300,Local,Sedan,Manual,Registered,Toyota Corolla
3000000,2019,Petrol,1300,Local,Sedan,Automatic,Registered,Toyota Corolla
495000,2005,Petrol,800,Local,Hatchback,Manual,Registered,Suzuki Mehran
1970000,2016,Petrol,1300,Imported,Sedan,Manual,Registered,Honda City
1170000,2005,Petrol,1300,Local,Sedan,Manual,Registered,Toyota Corolla
2980000,2014,Petrol,1800,Imported,Sedan,Automatic,Registered,Toyota Prius
1025000,2005,Petrol,1300,Local,Sedan,Manual,Registered,Honda City
585000,2010,Petrol,800,Local,Hatchback,Manual,Registered,Suzuki Mehran
1140000,2004,Petrol,1500,Local,Sedan,Manual,Registered,Honda Civic
1215000,2014,Petrol,1000,Local,Hatchback,Manual,Registered,Suzuki Cultus
2265000,2014,Petrol,1800,Local,Sedan,Manual,Registered,Honda Civic
2350000,2017,Petrol,1000,Imported,Hatchback,Automatic,Un-Registered,Toyota Passo
1510000,2018,Petrol,1000,Local,Hatchback,Manual,Registered,Suzuki Wagon
955000,2018,Petrol,800,Local,Van,Manual,Registered,Suzuki Bolan
3045000,2016,Petrol,1800,Local,Sedan,Automatic,Registered,Honda Civic
3345000,2017,Petrol,1800,Local,Sedan,Automatic,Registered,Honda Civic
2245000,2013,Petrol,1800,Local,Sedan,Automatic,Registered,Honda Civic
